# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 39.906, 116.391 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Shanghai, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "39.9057136", "lon": "116.3912972", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 08:00,0.091,0.045,0.060,-10.376
2019-01-01 01:00,2019-01-01 09:00,0.286,0.171,0.126,-7.864
2019-01-01 02:00,2019-01-01 10:00,0.463,0.331,0.158,-4.971
2019-01-01 03:00,2019-01-01 11:00,0.561,0.436,0.169,-2.619
2019-01-01 04:00,2019-01-01 12:00,0.613,0.512,0.161,-1.181
2019-01-01 05:00,2019-01-01 13:00,0.598,0.515,0.142,-0.214
2019-01-01 06:00,2019-01-01 14:00,0.512,0.442,0.115,0.287
2019-01-01 07:00,2019-01-01 15:00,0.321,0.259,0.085,-0.089
2019-01-01 08:00,2019-01-01 16:00,0.103,0.097,0.022,-2.391
2019-01-01 09:00,2019-01-01 17:00,0,0,0,-3.993
2019-01-01 10:00,2019-01-01 18:00,0,0,0,-5.484
2019-01-01 11:00,2019-01-01 19:00,0,0,0,-6.944
2019-01-01 12:00,2019-01-01 20:00,0,0,0,-7.952
2019-01-01 13:00,2019-01-01 21:00,0,0,0,-8.681
2019-01-01 14:00,2019-01-01 22:00,0,0,0,-9.293
2019-01-01 15:00,2019-01-01 23:00,0,0,0,-9.888
2019-01-01 16:00,2019-01-02 00:00,0,0,0,-10.429
2019-01-01 17:00,2019-01-02 01:00,0,0,0,-10.891
2019-01-01 18:00,2019-01-02 02:00,0,0,0,-11.290
2019-01-01 19:00,2019-01-02 03:00,0,0,0,-11.644
2019-01-01 20:00,2019-01-02 04:00,0,0,0,-11.953
2019-01-01 21:00,2019-01-02 05:00,0,0,0,-12.209
2019-01-01 22:00,2019-01-02 06:00,0,0,0,-12.401
2019-01-01 23:00,2019-01-02 07:00,0.002,0.005,0.004,-12.517
2019-01-02 00:00,2019-01-02 08:00,0.193,0.139,0.064,-10.636
2019-01-02 01:00,2019-01-02 09:00,0.426,0.335,0.107,-8.031
2019-01-02 02:00,2019-01-02 10:00,0.580,0.489,0.131,-5.077
2019-01-02 03:00,2019-01-02 11:00,0.670,0.597,0.139,-2.819
2019-01-02 04:00,2019-01-02 12:00,0.665,0.590,0.146,-1.133
2019-01-02 05:00,2019-01-02 13:00,0.587,0.499,0.146,-0.005
2019-01-02 06:00,2019-01-02 14:00,0.396,0.284,0.143,0.078
2019-01-02 07:00,2019-01-02 15:00,0.195,0.115,0.099,-0.738
2019-01-02 08:00,2019-01-02 16:00,0.028,0.018,0.024,-3.348
2019-01-02 09:00,2019-01-02 17:00,0,0,0,-4.733
2019-01-02 10:00,2019-01-02 18:00,0,0,0,-5.218
2019-01-02 11:00,2019-01-02 19:00,0,0,0,-5.693
2019-01-02 12:00,2019-01-02 20:00,0,0,0,-5.943
2019-01-02 13:00,2019-01-02 21:00,0,0,0,-5.772
2019-01-02 14:00,2019-01-02 22:00,0,0,0,-5.463
2019-01-02 15:00,2019-01-02 23:00,0,0,0,-5.666
