# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 31.231, 121.470 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Shanghai, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "31.2312707", "lon": "121.4700152", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 08:00,0.279,0.175,0.131,3.968
2019-01-01 01:00,2019-01-01 09:00,0.510,0.403,0.165,4.980
2019-01-01 02:00,2019-01-01 10:00,0.651,0.568,0.178,5.694
2019-01-01 03:00,2019-01-01 11:00,0.667,0.564,0.205,6.038
2019-01-01 04:00,2019-01-01 12:00,0.667,0.568,0.201,6.217
2019-01-01 05:00,2019-01-01 13:00,0.587,0.473,0.193,6.247
2019-01-01 06:00,2019-01-01 14:00,0.456,0.341,0.166,6.066
2019-01-01 07:00,2019-01-01 15:00,0.252,0.161,0.119,5.574
2019-01-01 08:00,2019-01-01 16:00,0.049,0.031,0.035,4.343
2019-01-01 09:00,2019-01-01 17:00,0,0,0,2.980
2019-01-01 10:00,2019-01-01 18:00,0,0,0,2.503
2019-01-01 11:00,2019-01-01 19:00,0,0,0,2.118
2019-01-01 12:00,2019-01-01 20:00,0,0,0,1.820
2019-01-01 13:00,2019-01-01 21:00,0,0,0,1.600
2019-01-01 14:00,2019-01-01 22:00,0,0,0,1.434
2019-01-01 15:00,2019-01-01 23:00,0,0,0,1.382
2019-01-01 16:00,2019-01-02 00:00,0,0,0,1.500
2019-01-01 17:00,2019-01-02 01:00,0,0,0,1.849
2019-01-01 18:00,2019-01-02 02:00,0,0,0,1.955
2019-01-01 19:00,2019-01-02 03:00,0,0,0,1.922
2019-01-01 20:00,2019-01-02 04:00,0,0,0,1.850
2019-01-01 21:00,2019-01-02 05:00,0,0,0,1.874
2019-01-01 22:00,2019-01-02 06:00,0,0,0,1.946
2019-01-01 23:00,2019-01-02 07:00,0.039,0.015,0.040,2.581
2019-01-02 00:00,2019-01-02 08:00,0.169,0.055,0.135,3.894
2019-01-02 01:00,2019-01-02 09:00,0.323,0.140,0.215,4.777
2019-01-02 02:00,2019-01-02 10:00,0.426,0.208,0.264,5.380
2019-01-02 03:00,2019-01-02 11:00,0.434,0.193,0.289,5.783
2019-01-02 04:00,2019-01-02 12:00,0.389,0.146,0.285,6.063
2019-01-02 05:00,2019-01-02 13:00,0.308,0.093,0.248,6.220
2019-01-02 06:00,2019-01-02 14:00,0.209,0.051,0.184,6.233
2019-01-02 07:00,2019-01-02 15:00,0.108,0.024,0.106,6.070
2019-01-02 08:00,2019-01-02 16:00,0.017,0.005,0.025,5.339
2019-01-02 09:00,2019-01-02 17:00,0,0,0,4.610
2019-01-02 10:00,2019-01-02 18:00,0,0,0,4.521
2019-01-02 11:00,2019-01-02 19:00,0,0,0,4.466
2019-01-02 12:00,2019-01-02 20:00,0,0,0,4.361
2019-01-02 13:00,2019-01-02 21:00,0,0,0,4.253
2019-01-02 14:00,2019-01-02 22:00,0,0,0,4.126
2019-01-02 15:00,2019-01-02 23:00,0,0,0,4.055
2019-01-02 16:00,2019-01-03 00:00,0,0,0,4.037
2019-01-02 17:00,2019-01-03 01:00,0,0,0,4.032
2019-01-02 18:00,2019-01-03 02:00,0,0,0,4.035
2019-01-02 19:00,2019-01-03 03:00,0,0,0,4.024
2019-01-02 20:00,2019-01-03 04:00,0,0,0,4.037
2019-01-02 21:00,2019-01-03 05:00,0,0,0,4.106
2019-01-02 22:00,2019-01-03 06:00,0,0,0,4.208
2019-01-02 23:00,2019-01-03 07:00,0.031,0.008,0.038,4.877
2019-01-03 00:00,2019-01-03 08:00,0.132,0.034,0.121,6.474
2019-01-03 01:00,2019-01-03 09:00,0.265,0.091,0.205,7.359
2019-01-03 02:00,2019-01-03 10:00,0.368,0.151,0.260,7.962
2019-01-03 03:00,2019-01-03 11:00,0.456,0.230,0.283,8.444
2019-01-03 04:00,2019-01-03 12:00,0.504,0.299,0.273,8.861
2019-01-03 05:00,2019-01-03 13:00,0.466,0.282,0.245,9.094
2019-01-03 06:00,2019-01-03 14:00,0.336,0.176,0.201,9.097
