# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 42.480, 85.463 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Urumqi, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Urumqi", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "42.4804953", "lon": "85.4633464", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 06:00,0,0,0,-17.252
2019-01-01 01:00,2019-01-01 07:00,0,0.001,0.001,-17.603
2019-01-01 02:00,2019-01-01 08:00,0.180,0.148,0.038,-16.468
2019-01-01 03:00,2019-01-01 09:00,0.375,0.306,0.073,-13.259
2019-01-01 04:00,2019-01-01 10:00,0.558,0.496,0.082,-10.809
2019-01-01 05:00,2019-01-01 11:00,0.714,0.698,0.071,-8.278
2019-01-01 06:00,2019-01-01 12:00,0.802,0.832,0.056,-6.613
2019-01-01 07:00,2019-01-01 13:00,0.777,0.810,0.049,-5.908
2019-01-01 08:00,2019-01-01 14:00,0.650,0.655,0.045,-6.008
2019-01-01 09:00,2019-01-01 15:00,0.428,0.406,0.040,-7.284
2019-01-01 10:00,2019-01-01 16:00,0.110,0.107,0.015,-10.519
2019-01-01 11:00,2019-01-01 17:00,0,0,0,-12.910
2019-01-01 12:00,2019-01-01 18:00,0,0,0,-14.390
2019-01-01 13:00,2019-01-01 19:00,0,0,0,-15.337
2019-01-01 14:00,2019-01-01 20:00,0,0,0,-15.899
2019-01-01 15:00,2019-01-01 21:00,0,0,0,-16.199
2019-01-01 16:00,2019-01-01 22:00,0,0,0,-16.410
2019-01-01 17:00,2019-01-01 23:00,0,0,0,-16.626
2019-01-01 18:00,2019-01-02 00:00,0,0,0,-16.863
2019-01-01 19:00,2019-01-02 01:00,0,0,0,-17.078
2019-01-01 20:00,2019-01-02 02:00,0,0,0,-17.179
2019-01-01 21:00,2019-01-02 03:00,0,0,0,-17.325
2019-01-01 22:00,2019-01-02 04:00,0,0,0,-17.467
2019-01-01 23:00,2019-01-02 05:00,0,0,0,-17.497
2019-01-02 00:00,2019-01-02 06:00,0,0,0,-17.460
2019-01-02 01:00,2019-01-02 07:00,0,0.001,0.001,-17.339
2019-01-02 02:00,2019-01-02 08:00,0.158,0.126,0.039,-16.255
2019-01-02 03:00,2019-01-02 09:00,0.434,0.376,0.064,-13.183
2019-01-02 04:00,2019-01-02 10:00,0.644,0.613,0.065,-10.215
2019-01-02 05:00,2019-01-02 11:00,0.742,0.738,0.066,-8.090
2019-01-02 06:00,2019-01-02 12:00,0.757,0.765,0.066,-6.103
2019-01-02 07:00,2019-01-02 13:00,0.710,0.711,0.063,-5.599
2019-01-02 08:00,2019-01-02 14:00,0.594,0.577,0.057,-5.836
2019-01-02 09:00,2019-01-02 15:00,0.393,0.362,0.047,-7.369
2019-01-02 10:00,2019-01-02 16:00,0.100,0.096,0.017,-10.312
2019-01-02 11:00,2019-01-02 17:00,0,0,0,-12.306
2019-01-02 12:00,2019-01-02 18:00,0,0,0,-13.698
2019-01-02 13:00,2019-01-02 19:00,0,0,0,-14.141
2019-01-02 14:00,2019-01-02 20:00,0,0,0,-13.976
2019-01-02 15:00,2019-01-02 21:00,0,0,0,-14.022
2019-01-02 16:00,2019-01-02 22:00,0,0,0,-14.076
2019-01-02 17:00,2019-01-02 23:00,0,0,0,-14.096
2019-01-02 18:00,2019-01-03 00:00,0,0,0,-14.042
2019-01-02 19:00,2019-01-03 01:00,0,0,0,-14.026
2019-01-02 20:00,2019-01-03 02:00,0,0,0,-13.974
2019-01-02 21:00,2019-01-03 03:00,0,0,0,-14.065
2019-01-02 22:00,2019-01-03 04:00,0,0,0,-14.310
2019-01-02 23:00,2019-01-03 05:00,0,0,0,-14.293
2019-01-03 00:00,2019-01-03 06:00,0,0,0,-14.134
2019-01-03 01:00,2019-01-03 07:00,0,0,0.001,-13.965
2019-01-03 02:00,2019-01-03 08:00,0.040,0.015,0.037,-13.402
2019-01-03 03:00,2019-01-03 09:00,0.118,0.035,0.095,-12.436
2019-01-03 04:00,2019-01-03 10:00,0.192,0.058,0.143,-11.751
2019-01-03 05:00,2019-01-03 11:00,0.225,0.065,0.169,-10.944
2019-01-03 06:00,2019-01-03 12:00,0.214,0.055,0.168,-10.491
2019-01-03 07:00,2019-01-03 13:00,0.197,0.050,0.156,-10.353
2019-01-03 08:00,2019-01-03 14:00,0.139,0.032,0.118,-10.425
2019-01-03 09:00,2019-01-03 15:00,0.066,0.015,0.065,-10.766
2019-01-03 10:00,2019-01-03 16:00,0.008,0.004,0.014,-11.699
2019-01-03 11:00,2019-01-03 17:00,0,0,0,-12.436
2019-01-03 12:00,2019-01-03 18:00,0,0,0,-12.743
2019-01-03 13:00,2019-01-03 19:00,0,0,0,-12.974
2019-01-03 14:00,2019-01-03 20:00,0,0,0,-13.244
2019-01-03 15:00,2019-01-03 21:00,0,0,0,-13.475
2019-01-03 16:00,2019-01-03 22:00,0,0,0,-13.681
2019-01-03 17:00,2019-01-03 23:00,0,0,0,-13.901
2019-01-03 18:00,2019-01-04 00:00,0,0,0,-14.204
2019-01-03 19:00,2019-01-04 01:00,0,0,0,-14.670
2019-01-03 20:00,2019-01-04 02:00,0,0,0,-15.044
2019-01-03 21:00,2019-01-04 03:00,0,0,0,-15.461
2019-01-03 22:00,2019-01-04 04:00,0,0,0,-15.869
2019-01-03 23:00,2019-01-04 05:00,0,0,0,-16.230
2019-01-04 00:00,2019-01-04 06:00,0,0,0,-16.537
2019-01-04 01:00,2019-01-04 07:00,0,0.001,0.001,-16.835
2019-01-04 02:00,2019-01-04 08:00,0.228,0.196,0.036,-16.327
2019-01-04 03:00,2019-01-04 09:00,0.507,0.463,0.052,-14.132
2019-01-04 04:00,2019-01-04 10:00,0.673,0.649,0.058,-11.842
2019-01-04 05:00,2019-01-04 11:00,0.760,0.756,0.062,-10.227
2019-01-04 06:00,2019-01-04 12:00,0.768,0.767,0.064,-9.299
2019-01-04 07:00,2019-01-04 13:00,0.761,0.772,0.053,-8.797
2019-01-04 08:00,2019-01-04 14:00,0.665,0.663,0.044,-8.911
2019-01-04 09:00,2019-01-04 15:00,0.458,0.435,0.037,-10.157
2019-01-04 10:00,2019-01-04 16:00,0.137,0.133,0.015,-13.119
2019-01-04 11:00,2019-01-04 17:00,0,0,0,-15.220
2019-01-04 12:00,2019-01-04 18:00,0,0,0,-16.170
2019-01-04 13:00,2019-01-04 19:00,0,0,0,-16.795
2019-01-04 14:00,2019-01-04 20:00,0,0,0,-16.897
2019-01-04 15:00,2019-01-04 21:00,0,0,0,-16.846
2019-01-04 16:00,2019-01-04 22:00,0,0,0,-16.964
2019-01-04 17:00,2019-01-04 23:00,0,0,0,-17.328
2019-01-04 18:00,2019-01-05 00:00,0,0,0,-17.911
2019-01-04 19:00,2019-01-05 01:00,0,0,0,-18.306
2019-01-04 20:00,2019-01-05 02:00,0,0,0,-18.480
2019-01-04 21:00,2019-01-05 03:00,0,0,0,-18.107
2019-01-04 22:00,2019-01-05 04:00,0,0,0,-17.708
2019-01-04 23:00,2019-01-05 05:00,0,0,0,-18.187
2019-01-05 00:00,2019-01-05 06:00,0,0,0,-18.685
2019-01-05 01:00,2019-01-05 07:00,0,0.002,0.001,-18.913
2019-01-05 02:00,2019-01-05 08:00,0.269,0.237,0.032,-17.554
2019-01-05 03:00,2019-01-05 09:00,0.548,0.515,0.043,-14.116
2019-01-05 04:00,2019-01-05 10:00,0.755,0.764,0.042,-11.428
2019-01-05 05:00,2019-01-05 11:00,0.840,0.881,0.044,-9.067
2019-01-05 06:00,2019-01-05 12:00,0.855,0.905,0.045,-8.120
2019-01-05 07:00,2019-01-05 13:00,0.803,0.838,0.044,-7.952
2019-01-05 08:00,2019-01-05 14:00,0.678,0.685,0.040,-8.318
2019-01-05 09:00,2019-01-05 15:00,0.461,0.441,0.036,-9.598
2019-01-05 10:00,2019-01-05 16:00,0.124,0.120,0.016,-12.332
2019-01-05 11:00,2019-01-05 17:00,0,0,0,-14.486
2019-01-05 12:00,2019-01-05 18:00,0,0,0,-15.566
2019-01-05 13:00,2019-01-05 19:00,0,0,0,-16.225
2019-01-05 14:00,2019-01-05 20:00,0,0,0,-16.595
2019-01-05 15:00,2019-01-05 21:00,0,0,0,-17.096
2019-01-05 16:00,2019-01-05 22:00,0,0,0,-17.705
2019-01-05 17:00,2019-01-05 23:00,0,0,0,-18.375
2019-01-05 18:00,2019-01-06 00:00,0,0,0,-19.081
2019-01-05 19:00,2019-01-06 01:00,0,0,0,-19.788
2019-01-05 20:00,2019-01-06 02:00,0,0,0,-20.432
2019-01-05 21:00,2019-01-06 03:00,0,0,0,-21.055
2019-01-05 22:00,2019-01-06 04:00,0,0,0,-21.395
2019-01-05 23:00,2019-01-06 05:00,0,0,0,-21.569
2019-01-06 00:00,2019-01-06 06:00,0,0,0,-21.673
2019-01-06 01:00,2019-01-06 07:00,0,0.003,0.001,-21.720
2019-01-06 02:00,2019-01-06 08:00,0.337,0.303,0.027,-20.239
2019-01-06 03:00,2019-01-06 09:00,0.605,0.575,0.037,-16.897
2019-01-06 04:00,2019-01-06 10:00,0.764,0.763,0.043,-13.849
2019-01-06 05:00,2019-01-06 11:00,0.812,0.824,0.052,-11.606
2019-01-06 06:00,2019-01-06 12:00,0.793,0.795,0.061,-10.699
2019-01-06 07:00,2019-01-06 13:00,0.716,0.698,0.064,-10.383
2019-01-06 08:00,2019-01-06 14:00,0.582,0.545,0.062,-10.570
